sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
西屯,臺中市,47,,良好,1.1,0.28,39,28,9,7,7,8.3,1.5,4.5,357,"2025-02-07 08:00",,0.2,12,17,1,120.616917,24.162197,32
忠明,臺中市,52,細懸浮微粒,普通,0.8,0.34,32,23,11,7,8,9.3,1.4,2.4,347,"2025-02-07 08:00",,0.3,13,18,1,120.641092,24.151958,31
大里,臺中市,61,細懸浮微粒,普通,1.4,0.37,27,17,10,7,8,9.9,1.9,2.4,0,"2025-02-07 08:00",,0.3,16,17,2,120.67844444,24.09961111,30
沙鹿,臺中市,36,,良好,1,0.3,41,39,10,6,6,6.4,0.7,5.4,65,"2025-02-07 08:00",,0.2,8,18,1,120.568794,24.225628,29
豐原,臺中市,56,細懸浮微粒,普通,0.8,0.29,31,25,5,7,6,6.2,0.1,3,29,"2025-02-07 08:00",,0.2,14,15,1,120.74252414,24.25699731,28
三義,苗栗縣,35,,良好,0.5,0.28,37,25,0,0,6,7,1.4,6.5,12,"2025-02-07 08:00",,0.2,9,11,1,120.75956754,24.38248443,27
苗栗,苗栗縣,33,,良好,1.5,0.28,38,36,4,3,7,7.7,0.8,3.6,8,"2025-02-07 08:00",,0.2,8,7,1,120.82011468,24.56499183,26
頭份,苗栗縣,37,,良好,1.1,0.32,40,40,7,5,8,9.6,1.6,2.6,23,"2025-02-07 08:00",,0.2,7,10,1,120.89869286,24.69690679,25
新竹,新竹市,36,,良好,1.8,0.3,39,40,4,6,8,8.5,0.8,3.5,20,"2025-02-07 08:00",,0.2,7,5,1,120.97236752,24.8056356,24
竹東,新竹縣,31,,良好,0.4,0.25,44,29,0,4,5,5.3,0.5,4.9,24,"2025-02-07 08:00",,0.2,8,6,0,121.08895493,24.74091408,23
湖口,新竹縣,40,,良好,0.5,0.28,42,44,3,3,5,5.7,0.5,5.1,39,"2025-02-07 08:00",,0.2,4,7,0,121.03886894,24.90009696,22
龍潭,桃園市,32,,良好,1,0.3,39,36,4,3,8,8.6,0.5,5.1,50,"2025-02-07 08:00",,0.2,7,6,1,121.21645772,24.86400048,21
平鎮,桃園市,35,,良好,0.7,0.37,34,38,4,7,14,15,1.1,3,48,"2025-02-07 08:00",,0.2,5,6,0,121.203986,24.952786,20
觀音,桃園市,41,,良好,1,0.22,42,45,10,2,6,6.3,0.6,7.3,59,"2025-02-07 08:00",,0.2,4,9,0,121.08283092,25.03556747,19
大園,桃園市,42,,良好,1.6,0.27,38,46,9,3,13,15.6,2.4,6.1,35,"2025-02-07 08:00",,0.2,4,8,1,121.20251473,25.06100357,18
桃園,桃園市,37,,良好,1.1,0.45,34,40,6,0,13,13.9,0.9,2,52,"2025-02-07 08:00",,0.2,2,3,1,121.30500531,24.9947107,17
大同,臺北市,63,二氧化氮,普通,0.9,1.05,8,28,20,9,41,83.6,42.6,-,-,"2025-02-07 08:00",,0.4,6,9,1,121.51342074,25.06331455,16
松山,臺北市,36,,良好,1,0.29,32,38,0,6,15,16.5,1.4,1.8,22,"2025-02-07 08:00",,0.2,4,2,1,121.578611,25.05,15
古亭,臺北市,36,,良好,1.2,0.34,36,39,2,2,12,13.1,1,1.9,59,"2025-02-07 08:00",,0.2,4,4,1,121.529556,25.020608,14
萬華,臺北市,34,,良好,0.3,0.33,35,38,7,0,13,14.4,1,2.2,101,"2025-02-07 08:00",,0.2,2,6,1,121.507972,25.046503,13
中山,臺北市,50,,良好,0.5,0.46,27,34,14,5,22,25.1,3.2,2,82,"2025-02-07 08:00",,0.3,6,8,1,121.526528,25.062361,12
士林,臺北市,39,,良好,0.8,0.32,40,43,0,1,8,8.8,0.4,1.5,192,"2025-02-07 08:00",,0.2,2,3,1,121.51666356,25.10334003,11
淡水,新北市,41,,良好,0.4,0.29,42,44,4,4,5,5.2,0.5,1.9,20,"2025-02-07 08:00",,0.2,5,8,1,121.449239,25.1645,10
林口,新北市,40,,良好,0.8,0.29,35,43,1,0,15,17.8,3.2,2.6,41,"2025-02-07 08:00",,0.2,3,3,1,121.36548982,25.07798949,9
菜寮,新北市,33,,良好,0.7,0.42,35,36,6,4,15,15.4,0.8,2.5,96,"2025-02-07 08:00",,0.2,5,7,0,121.481028,25.06895,8
新莊,新北市,45,,良好,0.4,0.39,27,35,1,3,19,21.4,2.4,2.6,84,"2025-02-07 08:00",,0.2,4,2,0,121.4325,25.037972,7
板橋,新北市,37,,良好,0.8,0.38,36,40,2,3,14,15.5,1.4,1.8,93,"2025-02-07 08:00",,0.2,4,3,1,121.458667,25.012972,6
土城,新北市,36,,良好,1,0.43,36,40,4,0,12,13.1,0.7,1.2,10,"2025-02-07 08:00",,0.2,2,6,0,121.451861,24.982528,5
新店,新北市,36,,良好,0.6,0.3,39,40,8,2,10,10.2,0.6,1.7,64,"2025-02-07 08:00",,0.2,3,7,0,121.537778,24.977222,4
萬里,新北市,50,,良好,0.8,0.24,49,50,33,5,3,4,0.9,5.6,43,"2025-02-07 08:00",,0.2,4,30,0,121.689881,25.179667,3
汐止,新北市,34,,良好,1.3,0.28,37,38,9,2,11,11.9,1.1,1.1,27,"2025-02-07 08:00",,0.2,5,6,0,121.64081,25.06624,2
基隆,基隆市,37,,良好,0.9,0.28,48,41,6,4,4,4,0.4,2.2,85,"2025-02-07 08:00",,0.2,3,5,1,121.760056,25.129167,1
屏東(枋山),屏東縣,36,,良好,0.4,0.19,37,39,18,2,8,8,0.4,0.6,251,"2025-02-07 07:00",,0.1,6,15,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,28,,良好,0.3,0.19,34,31,6,5,6,6.9,1.2,2.9,27,"2025-02-07 07:00",,0.1,4,6,0,121.61575076,23.97709367,312
新北（樹林）,新北市,38,,良好,0.3,0.3,23,24,1,1,16,22.2,5.7,0.1,179,"2025-02-07 07:00",,0.2,3,6,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,74,細懸浮微粒,普通,0.2,0.33,12,14,21,15,6,8.5,2.6,0,34,"2025-02-07 07:00",,0.3,21,26,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,135,細懸浮微粒,對敏感族群不健康,3.1,0.77,11,18,70,53,20,21.5,1.1,1.9,314,"2025-02-07 07:00",,0.5,44,64,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,69,細懸浮微粒,普通,0.4,0.29,30,27,40,22,8,8.6,0.7,3.1,3,"2025-02-07 07:00",,0.2,19,37,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,107,細懸浮微粒,對敏感族群不健康,1,0.35,17,18,43,30,16,17.5,1.3,1.5,197,"2025-02-07 07:00",,0.3,33,50,2,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,38,,良好,0.8,0.24,42,42,18,0,4,5.1,0.9,1.7,54,"2025-02-07 07:00",,0.2,3,11,1,121.82463916,24.85366672,201
員林,彰化縣,60,細懸浮微粒,普通,1,0.27,36,27,21,8,6,7.4,1.4,2.9,30,"2025-02-07 07:00",,0.2,16,24,1,120.5631893,23.9615945,139
大城,彰化縣,45,,良好,1.1,0.22,48,49,21,10,3,4,1.3,10.1,41,"2025-02-07 07:00",,0.2,9,19,0,120.26964167,23.85493056,85
富貴角,新北市,49,,良好,0.3,0.21,52,53,18,5,1,1.1,0,12.5,42,"2025-02-07 07:00",,0.2,4,18,0,121.53656894,25.29681695,84
麥寮,雲林縣,42,,良好,1.2,0.25,46,46,18,13,4,4,0.2,6.9,359,"2025-02-07 07:00",,0.2,9,18,2,120.251825,23.753506,83
關山,臺東縣,29,,良好,0.9,0.21,16,21,17,9,2,3,0.8,0.8,21,"2025-02-07 07:00",,0.1,7,14,0,121.161933,23.045083,80
馬公,澎湖縣,45,,良好,1.1,0.24,50,49,15,5,2,2.7,0.7,6.8,31,"2025-02-07 07:00",,0.2,7,13,1,119.566158,23.569031,78
金門,金門縣,48,,良好,1,0.3,34,36,7,7,4,4.6,0.6,1.6,45,"2025-02-07 07:00",,0.2,12,14,1,118.312256,24.432133,77
馬祖,連江縣,72,細懸浮微粒,普通,1,0.3,37,42,25,20,3,3.7,0.7,2.5,331,"2025-02-07 07:00",,0.3,20,27,0,119.952724,26.153736,75
埔里,南投縣,118,細懸浮微粒,對敏感族群不健康,1.2,0.5,2,9,43,36,9,10.9,2,0.3,180,"2025-02-07 07:00",,0.4,37,48,1,120.967903,23.968842,72
復興,高雄市,122,細懸浮微粒,對敏感族群不健康,1,0.52,12,20,58,47,16,20.6,4.9,1.5,165,"2025-02-07 07:00",,0.3,39,51,1,120.312017,22.608711,71
永和,新北市,35,,良好,0.8,0.36,40,39,2,4,8,9.9,1.6,1.4,76,"2025-02-07 07:00",,0.2,5,5,0,121.516306,25.017,70
竹山,南投縣,91,細懸浮微粒,普通,1,0.29,15,11,26,19,13,14.2,0.9,2.1,30,"2025-02-07 07:00",,0.3,27,37,1,120.677306,23.756389,69
中壢,桃園市,52,二氧化氮,普通,1.1,0.38,24,33,9,8,24,38.3,13.8,1.5,8,"2025-02-07 07:00",,0.3,7,8,1,121.221667,24.953278,68
三重,新北市,59,二氧化氮,普通,0.8,0.81,14,20,9,3,36,71.6,35.6,-,-,"2025-02-07 07:00",,0.5,6,9,1,121.493806,25.072611,67
冬山,宜蘭縣,27,,良好,0.4,0.23,46,29,1,0,3,3,0.2,1.7,257,"2025-02-07 07:00",,0.1,3,3,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.9,0.26,42,33,2,4,4,4.4,0.6,0.5,78,"2025-02-07 07:00",,0.2,3,3,0,121.746394,24.747917,65
陽明,臺北市,46,,良好,0.7,0.26,50,50,4,0,2,1.7,0.2,1.6,350,"2025-02-07 07:00",,0.2,1,3,0,121.529583,25.182722,64
花蓮,花蓮縣,16,,良好,0.2,0.29,9,17,10,4,6,7.9,1.4,0.5,219,"2025-02-07 07:00",,0.2,4,9,0,121.599769,23.971306,63
臺東,臺東縣,29,,良好,0.6,0.19,27,31,10,7,2,2.5,0.7,2.2,318,"2025-02-07 07:00",,0.1,6,9,0,121.15045,22.755358,62
恆春,屏東縣,40,,良好,0.6,0.19,45,43,3,1,1,2.2,0.8,7.2,20,"2025-02-07 07:00",,0.1,3,6,0,120.788928,21.958069,61
潮州,屏東縣,126,細懸浮微粒,對敏感族群不健康,0.5,0.38,6,14,61,35,7,8.6,1.1,0.4,356,"2025-02-07 07:00",,0.3,41,61,1,120.561175,22.523108,60
屏東,屏東縣,120,細懸浮微粒,對敏感族群不健康,0.8,0.47,10,21,62,42,12,13.7,1.1,1.7,268,"2025-02-07 07:00",,0.3,38,56,1,120.488033,22.673081,59
小港,高雄市,123,細懸浮微粒,對敏感族群不健康,1.3,0.45,7,16,62,44,23,25.3,2,1.7,310,"2025-02-07 07:00",,0.4,39,57,2,120.337736,22.565833,58
前鎮,高雄市,126,細懸浮微粒,對敏感族群不健康,0.8,0.46,13,20,67,53,15,17.1,2.2,2.4,17,"2025-02-07 07:00",,0.4,40,60,1,120.30833356,22.6044507,57
前金,高雄市,116,細懸浮微粒,對敏感族群不健康,0.7,0.39,16,19,63,40,14,14.6,1,3,358,"2025-02-07 07:00",,0.3,37,60,1,120.28676111,22.63390278,56
左營,高雄市,113,細懸浮微粒,對敏感族群不健康,0.9,0.41,16,21,65,37,14,14.7,0.7,3.3,358,"2025-02-07 07:00",,0.3,35,58,1,120.292917,22.674861,54
楠梓,高雄市,105,細懸浮微粒,對敏感族群不健康,1,0.34,12,18,63,41,15,16.3,1,2.1,23,"2025-02-07 07:00",,0.3,32,55,1,120.328289,22.733667,53
林園,高雄市,140,細懸浮微粒,對敏感族群不健康,1.6,0.58,11,16,96,59,18,18.8,1,2.3,311,"2025-02-07 07:00",,0.4,46,70,3,120.41175,22.4795,52
大寮,高雄市,119,細懸浮微粒,對敏感族群不健康,0.9,0.41,9,18,60,42,14,15.1,1.1,2.1,335,"2025-02-07 07:00",,0.3,38,57,2,120.425311,22.56413611,51
鳳山,高雄市,127,細懸浮微粒,對敏感族群不健康,1.4,0.5,8,15,74,49,18,20.2,2.5,0.6,254,"2025-02-07 07:00",,0.4,41,59,1,120.357422,22.628126,50
仁武,高雄市,118,細懸浮微粒,對敏感族群不健康,1.1,0.37,12,17,63,45,16,17.3,1.2,3.4,342,"2025-02-07 07:00",,0.3,38,55,2,120.332631,22.689056,49
橋頭,高雄市,118,細懸浮微粒,對敏感族群不健康,0.9,0.37,14,20,51,40,16,16.8,0.8,3.4,13,"2025-02-07 07:00",,0.3,38,51,1,120.305689,22.757506,48
美濃,高雄市,97,細懸浮微粒,普通,0.8,0.38,4,12,42,32,10,10.9,0.9,0.4,60,"2025-02-07 07:00",,0.3,29,43,0,120.530542,22.883583,47
臺南,臺南市,81,細懸浮微粒,普通,0.8,0.29,28,29,39,24,9,10,0.9,3.4,5,"2025-02-07 07:00",,0.2,24,40,1,120.21947897,22.98928311,46
安南,臺南市,79,細懸浮微粒,普通,0.2,0.3,30,30,36,25,7,7,0.2,2.9,323,"2025-02-07 07:00",,0.2,23,36,1,120.2175,23.048197,45
善化,臺南市,75,細懸浮微粒,普通,0.9,0.3,28,26,46,27,8,8.8,1.1,4.2,358,"2025-02-07 07:00",,0.2,21,47,2,120.29740529,23.11337642,44
新營,臺南市,75,細懸浮微粒,普通,0.2,0.34,32,28,38,21,7,8.7,2,3.5,13,"2025-02-07 07:00",,0.2,21,35,1,120.31725,23.305633,43
嘉義,嘉義市,75,細懸浮微粒,普通,1.6,0.28,29,25,27,16,8,8.4,0.5,3.1,12,"2025-02-07 07:00",,0.2,21,35,5,120.44125148,23.46477865,42
臺西,雲林縣,43,,良好,0.9,0.25,46,47,24,7,3,2.8,0.2,9.2,22,"2025-02-07 07:00",,0.2,7,22,1,120.19933333,23.702175,41
朴子,嘉義縣,59,細懸浮微粒,普通,0.6,0.26,40,37,31,15,4,3.9,0,2.7,8,"2025-02-07 07:00",,0.2,15,30,1,120.2478,23.46538,40
新港,嘉義縣,56,細懸浮微粒,普通,1,0.33,37,33,28,16,6,6.1,0.6,4.6,13,"2025-02-07 07:00",,0.3,14,29,2,120.345531,23.554839,39
崙背,雲林縣,61,細懸浮微粒,普通,0.7,0.35,37,36,42,17,5,6.5,1.1,2.6,7,"2025-02-07 07:00",,0.3,16,33,1,120.348742,23.757547,38
斗六,雲林縣,72,細懸浮微粒,普通,0.8,0.26,31,24,22,12,6,6.8,1.2,3.1,348,"2025-02-07 07:00",,0.2,20,36,2,120.544994,23.711853,37
南投,南投縣,73,細懸浮微粒,普通,1,0.28,20,13,21,15,11,12.1,1.2,1.2,26,"2025-02-07 07:00",,0.3,21,28,1,120.685306,23.913,36
二林,彰化縣,52,懸浮微粒,普通,1.3,0.42,40,39,39,9,6,5.9,0,6.5,26,"2025-02-07 07:00",,0.3,10,32,1,120.409653,23.925175,35
線西,彰化縣,40,,良好,2.5,0.49,43,41,22,9,7,7.5,0.4,7.9,27,"2025-02-07 07:00",,0.4,10,24,2,120.469061,24.131672,34
彰化,彰化縣,42,,良好,0.7,0.26,39,34,15,6,6,7,0.6,3.5,24,"2025-02-07 07:00",,0.2,10,20,2,120.541519,24.066,33
西屯,臺中市,51,細懸浮微粒,普通,1.1,0.25,38,25,13,7,7,9,1.5,4.4,4,"2025-02-07 07:00",,0.2,13,19,1,120.616917,24.162197,32
忠明,臺中市,57,細懸浮微粒,普通,0.8,0.28,34,21,14,8,6,6.5,0.9,2.3,3,"2025-02-07 07:00",,0.3,15,20,1,120.641092,24.151958,31
大里,臺中市,67,細懸浮微粒,普通,1.4,0.28,24,16,13,11,6,7.5,1.4,2.2,347,"2025-02-07 07:00",,0.3,18,19,2,120.67844444,24.09961111,30
沙鹿,臺中市,35,,良好,1,0.28,41,39,12,5,5,5.9,0.5,5.5,24,"2025-02-07 07:00",,0.2,8,19,1,120.568794,24.225628,29
豐原,臺中市,61,細懸浮微粒,普通,0.9,0.28,22,23,10,11,7,6.8,0,1.9,21,"2025-02-07 07:00",,0.3,16,17,1,120.74252414,24.25699731,28
三義,苗栗縣,45,,良好,0.4,0.26,38,22,4,4,5,5.9,1.1,6.4,16,"2025-02-07 07:00",,0.3,11,14,1,120.75956754,24.38248443,27
苗栗,苗栗縣,38,,良好,1.4,0.23,40,35,3,2,5,5.2,0.6,3.4,3,"2025-02-07 07:00",,0.2,9,8,1,120.82011468,24.56499183,26
頭份,苗栗縣,34,,良好,1.2,0.28,44,37,8,7,5,6.1,1.3,3.1,41,"2025-02-07 07:00",,0.2,8,12,1,120.89869286,24.69690679,25
新竹,新竹市,35,,良好,1.4,0.27,42,39,5,5,5,6.2,0.7,4,33,"2025-02-07 07:00",,0.2,8,5,1,120.97236752,24.8056356,24
竹東,新竹縣,35,,良好,0.4,0.24,44,26,0,3,4,4.1,0.3,3.5,31,"2025-02-07 07:00",,0.2,9,8,0,121.08895493,24.74091408,23
湖口,新竹縣,40,,良好,0.7,0.26,44,43,3,5,4,4.1,0.5,5,43,"2025-02-07 07:00",,0.2,4,8,0,121.03886894,24.90009696,22
龍潭,桃園市,32,,良好,0.8,0.26,41,36,5,6,6,6.5,0.2,5.5,61,"2025-02-07 07:00",,0.2,8,7,1,121.21645772,24.86400048,21
平鎮,桃園市,34,,良好,0.6,0.31,39,38,3,4,10,10.3,0.7,3.2,53,"2025-02-07 07:00",,0.2,5,6,0,121.203986,24.952786,20
觀音,桃園市,42,,良好,0.8,0.22,44,45,10,4,4,4,0.5,6.3,55,"2025-02-07 07:00",,0.2,5,8,0,121.08283092,25.03556747,19
大園,桃園市,43,,良好,0.9,0.24,44,46,7,5,5,5.9,1,7,31,"2025-02-07 07:00",,0.2,4,8,1,121.20251473,25.06100357,18
桃園,桃園市,38,,良好,1.1,0.31,41,41,2,0,7,7.4,0.4,2.3,30,"2025-02-07 07:00",,0.2,3,3,1,121.30500531,24.9947107,17
大同,臺北市,54,二氧化氮,普通,0.7,0.52,22,31,6,6,28,41.7,14.1,-,-,"2025-02-07 07:00",,0.4,6,7,1,121.51342074,25.06331455,16
松山,臺北市,35,,良好,0.8,0.25,40,39,0,5,8,8.7,0.7,1.6,22,"2025-02-07 07:00",,0.2,4,3,1,121.578611,25.05,15
古亭,臺北市,36,,良好,1.2,0.28,41,39,1,0,7,7.4,0.8,1.3,55,"2025-02-07 07:00",,0.2,4,5,1,121.529556,25.020608,14
萬華,臺北市,35,,良好,0.3,0.29,40,38,3,2,8,8.8,0.6,2.6,93,"2025-02-07 07:00",,0.2,3,6,1,121.507972,25.046503,13
中山,臺北市,33,,良好,0.4,0.36,32,35,4,6,15,16.4,1.4,1.6,81,"2025-02-07 07:00",,0.2,6,8,1,121.526528,25.062361,12
士林,臺北市,40,,良好,0.8,0.28,43,44,0,0,5,5.3,0.2,1.3,171,"2025-02-07 07:00",,0.2,2,5,1,121.51666356,25.10334003,11
淡水,新北市,39,,良好,0.3,0.27,44,43,9,4,3,3.9,0.7,2.6,20,"2025-02-07 07:00",,0.2,5,9,1,121.449239,25.1645,10
林口,新北市,41,,良好,0.8,0.25,43,44,1,0,6,6.9,1.3,4.1,48,"2025-02-07 07:00",,0.2,4,3,1,121.36548982,25.07798949,9
菜寮,新北市,36,,良好,0.7,0.34,32,37,9,6,16,16.2,0.4,1.2,73,"2025-02-07 07:00",,0.2,6,7,0,121.481028,25.06895,8
新莊,新北市,33,,良好,0.3,0.28,35,37,1,3,9,10.1,1.3,1.4,27,"2025-02-07 07:00",,0.2,5,3,0,121.4325,25.037972,7
板橋,新北市,37,,良好,0.8,0.31,43,40,0,2,7,7.9,0.8,2,90,"2025-02-07 07:00",,0.2,4,3,1,121.458667,25.012972,6
土城,新北市,37,,良好,1,0.32,42,40,4,0,6,7.1,0.6,0.8,244,"2025-02-07 07:00",,0.2,4,7,0,121.451861,24.982528,5
新店,新北市,36,,良好,0.9,0.26,42,40,5,1,7,7,0.4,1.8,42,"2025-02-07 07:00",,0.2,4,7,0,121.537778,24.977222,4
萬里,新北市,48,,良好,0.6,0.24,50,50,36,3,3,3.3,0.7,6.5,48,"2025-02-07 07:00",,0.2,4,29,1,121.689881,25.179667,3
汐止,新北市,33,,良好,1.1,0.24,43,36,5,2,6,7.2,0.8,2.5,28,"2025-02-07 07:00",,0.2,6,6,0,121.64081,25.06624,2
基隆,基隆市,33,,良好,1,0.26,49,37,4,2,3,3.1,0.3,1.8,95,"2025-02-07 07:00",,0.3,3,5,1,121.760056,25.129167,1
屏東(枋山),屏東縣,36,,良好,0.3,0.16,38,40,5,2,6,6.3,0.6,1.3,65,"2025-02-07 06:00",,0.1,6,13,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,30,,良好,0.3,0.19,31,32,3,2,5,5.2,0.2,1.2,308,"2025-02-07 06:00",,0.1,4,6,0,121.61575076,23.97709367,312
新北（樹林）,新北市,21,,良好,0.2,0.25,28,24,2,1,8,7.9,0.3,0,164,"2025-02-07 06:00",,0.2,4,8,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,81,細懸浮微粒,普通,0.2,0.28,9,15,13,11,5,9,4.2,0,28,"2025-02-07 06:00",,0.3,24,28,0,120.883858,24.174592,310
屏東（琉球）,屏東縣,129,細懸浮微粒,對敏感族群不健康,2.1,0.5,18,21,53,42,18,19,0.6,1.7,326,"2025-02-07 06:00",,0.5,42,62,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,70,細懸浮微粒,普通,0.4,0.3,25,27,33,16,9,9.8,0.7,3.6,2,"2025-02-07 06:00",,0.2,20,37,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,108,細懸浮微粒,對敏感族群不健康,1.6,0.36,14,19,48,32,18,19.1,1.3,1.3,8,"2025-02-07 06:00",,0.3,33,51,2,120.24535,22.87985556,202
宜蘭（頭城）,宜蘭縣,37,,良好,0.7,0.24,43,40,9,0,4,4.6,0.7,1.4,50,"2025-02-07 06:00",,0.2,3,10,1,121.82463916,24.85366672,201
員林,彰化縣,66,細懸浮微粒,普通,1,0.26,34,26,16,12,6,7.2,1.4,3.2,244,"2025-02-07 06:00",,0.3,18,25,1,120.5631893,23.9615945,139
大城,彰化縣,45,,良好,1.1,0.24,49,49,18,8,3,3.9,1,10.5,39,"2025-02-07 06:00",,0.2,8,19,0,120.26964167,23.85493056,85
富貴角,新北市,49,,良好,0.3,0.22,53,53,21,4,1,1.1,0,12.2,41,"2025-02-07 06:00",,0.2,4,17,0,121.53656894,25.29681695,84
麥寮,雲林縣,42,,良好,1.1,0.25,46,46,13,7,4,4,0.2,10,3,"2025-02-07 06:00",,0.2,8,18,2,120.251825,23.753506,83
關山,臺東縣,28,,良好,1,0.19,20,23,11,8,1,2,0.7,1.3,13,"2025-02-07 06:00",,0.1,7,14,0,121.161933,23.045083,80
馬公,澎湖縣,45,,良好,0.9,0.24,50,49,10,4,2,2.5,0.6,6.6,33,"2025-02-07 06:00",,0.2,8,14,1,119.566158,23.569031,78
金門,金門縣,53,細懸浮微粒,普通,1.2,0.3,34,36,12,6,4,4.7,0.7,1.9,41,"2025-02-07 06:00",,0.2,13,17,1,118.312256,24.432133,77
馬祖,連江縣,72,細懸浮微粒,普通,1,0.29,37,43,27,19,3,3.5,0.8,2.3,336,"2025-02-07 06:00",,0.3,20,27,0,119.952724,26.153736,75
埔里,南投縣,121,細懸浮微粒,對敏感族群不健康,1.2,0.49,2,11,48,34,8,9.9,1.5,0.3,125,"2025-02-07 06:00",,0.4,38,51,1,120.967903,23.968842,72
復興,高雄市,116,細懸浮微粒,對敏感族群不健康,0.9,0.38,18,21,52,43,11,12.6,1.3,0.9,149,"2025-02-07 06:00",,0.3,36,49,2,120.312017,22.608711,71
永和,新北市,35,,良好,0.7,0.3,44,38,3,3,4,5.3,0.7,1.7,83,"2025-02-07 06:00",,0.2,6,7,0,121.516306,25.017,70
竹山,南投縣,96,細懸浮微粒,普通,1.1,0.37,7,11,33,27,17,17.8,0.7,1.7,36,"2025-02-07 06:00",,0.3,29,40,1,120.677306,23.756389,69
中壢,桃園市,31,,良好,0.9,0.28,34,34,4,6,13,17.2,4.4,1.1,9,"2025-02-07 06:00",,0.3,8,9,1,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.7,0.47,24,20,8,4,23,31.7,8.7,-,-,"2025-02-07 06:00",,0.5,7,9,1,121.493806,25.072611,67
冬山,宜蘭縣,24,,良好,0.5,0.22,42,26,1,1,4,4,0.3,1.9,300,"2025-02-07 06:00",,0.1,4,4,0,121.792928,24.632203,66
宜蘭,宜蘭縣,29,,良好,0.9,0.22,44,31,2,0,2,2.7,0.6,0.7,57,"2025-02-07 06:00",,0.2,3,3,0,121.746394,24.747917,65
陽明,臺北市,46,,良好,0.6,0.27,50,50,6,2,1,1.6,0.2,2.7,350,"2025-02-07 06:00",,0.2,1,3,0,121.529583,25.182722,64
花蓮,花蓮縣,17,,良好,0.3,0.24,12,19,9,3,5,6.2,1.1,1.7,244,"2025-02-07 06:00",,0.2,4,9,0,121.599769,23.971306,63
臺東,臺東縣,29,,良好,0.6,0.18,29,32,10,9,2,2.2,0.7,2,331,"2025-02-07 06:00",,0.1,6,9,0,121.15045,22.755358,62
恆春,屏東縣,40,,良好,0.6,0.18,44,44,4,3,1,2,0.7,7.4,24,"2025-02-07 06:00",,0.1,4,7,0,120.788928,21.958069,61
潮州,屏東縣,130,細懸浮微粒,對敏感族群不健康,0.5,0.37,9,17,58,39,7,8.3,1,0.8,47,"2025-02-07 06:00",,0.3,42,61,1,120.561175,22.523108,60
屏東,屏東縣,117,細懸浮微粒,對敏感族群不健康,0.8,0.39,16,24,55,40,9,9.9,0.9,0.8,176,"2025-02-07 06:00",,0.3,37,54,1,120.488033,22.673081,59
小港,高雄市,117,細懸浮微粒,對敏感族群不健康,1.3,0.37,13,17,55,38,17,17.9,0.5,0.9,326,"2025-02-07 06:00",,0.4,37,55,2,120.337736,22.565833,58
前鎮,高雄市,118,細懸浮微粒,對敏感族群不健康,0.6,0.39,18,21,58,39,11,12.4,1.2,2.7,28,"2025-02-07 06:00",,0.4,37,58,1,120.30833356,22.6044507,57
前金,高雄市,112,細懸浮微粒,對敏感族群不健康,0.8,0.37,15,20,70,39,13,13.7,0.9,4.2,354,"2025-02-07 06:00",,0.3,35,59,1,120.28676111,22.63390278,56
左營,高雄市,111,細懸浮微粒,對敏感族群不健康,0.9,0.37,16,23,62,38,13,13.2,0.3,1.4,358,"2025-02-07 06:00",,0.3,35,56,1,120.292917,22.674861,54
楠梓,高雄市,102,細懸浮微粒,對敏感族群不健康,1.1,0.34,13,20,52,29,13,13.7,0.9,1.7,24,"2025-02-07 06:00",,0.3,31,53,1,120.328289,22.733667,53
林園,高雄市,133,細懸浮微粒,對敏感族群不健康,1.3,0.41,11,17,70,44,18,18.1,0.5,1.4,32,"2025-02-07 06:00",,0.4,44,65,3,120.41175,22.4795,52
大寮,高雄市,117,細懸浮微粒,對敏感族群不健康,0.9,0.33,13,21,59,35,10,10.6,0.4,0.8,320,"2025-02-07 06:00",,0.3,37,55,2,120.425311,22.56413611,51
鳳山,高雄市,121,細懸浮微粒,對敏感族群不健康,1.2,0.39,12,17,59,44,14,15.4,1.5,0.4,200,"2025-02-07 06:00",,0.4,39,56,1,120.357422,22.628126,50
仁武,高雄市,114,細懸浮微粒,對敏感族群不健康,1.3,0.36,11,18,53,40,16,17.8,1.5,2.6,337,"2025-02-07 06:00",,0.3,36,54,2,120.332631,22.689056,49
橋頭,高雄市,116,細懸浮微粒,對敏感族群不健康,1.1,0.34,15,22,53,45,14,14.3,0.4,2.4,9,"2025-02-07 06:00",,0.3,36,50,1,120.305689,22.757506,48
